AirBnB,Number of bedrooms,Guest reviews,Length of stay,Income Per Week($)
Fritsch Inc,6,5,56,9105
Dietrich Inc,2,1,2,4053
Rau Inc,5,5,18,593
Bruen and Sons,3,1,54,291
"Hilll, Rodriguez and Rohan",8,4,6,9067
"Mann, Will and Ortiz",4,3,93,963
DuBuque LLC,2,2,45,9041
"Goldner, Rohan and Cormier",4,4,45,7384
Kihn-Carroll,6,4,10,6838
Purdy Inc,4,2,41,9745
Cormier Group,6,3,14,6124
"Fadel, Bauch and Lehner",8,2,80,9465
"Lubowitz, Parisian and Nikolaus",3,4,80,9449
"Streich, Lubowitz and Farrell",3,3,6,1362
"Dibbert, Torphy and Schuppe",10,4,2,2629
Gleichner LLC,7,3,41,3936
"Bergnaum, Ziemann and Crist",5,4,89,3590
"Nolan, Blanda and Ernser",1,5,79,9426
Parker-Goyette,12,1,54,5514
Feeney and Sons,9,4,29,5125
Flatley-Strosin,5,1,74,3770
"Doyle, Zemlak and Feil",1,3,96,1186
Jones-Walsh,4,1,37,3857
Schinner-Krajcik,12,2,82,2237
Luettgen and Sons,4,1,86,9512
Hermann Group,10,3,11,5321
"Heathcote, Howell and Reichert",7,5,84,2573
"Aufderhar, Beatty and Altenwerth",9,4,79,5662
Dickens Inc,12,2,60,5550
"Hodkiewicz, Yundt and Emard",10,3,11,371
"Morar, Lubowitz and Tromp",6,1,34,1765
"Williamson, Schultz and Leannon",5,5,23,872
Haag-Dietrich,10,4,49,6391
Dickinson Inc,1,1,31,6577
Cummerata LLC,12,4,92,8840
Hills and Sons,3,1,96,6454
Nikolaus and Sons,11,4,11,6326
"Wehner, Beatty and Donnelly",8,2,56,580
Donnelly Group,5,1,57,8290
"Auer, Dicki and Wiza",10,1,2,1965
"Hegmann, Kuphal and Davis",10,1,50,7678
Heathcote-Bergstrom,5,4,42,5914
Rosenbaum and Sons,7,3,73,9728
Schulist-Nader,9,3,52,9287
Bailey Group,8,2,91,2722
O'Conner Group,2,2,97,4209
"Ryan, Schaden and Klein",10,3,14,4436
Altenwerth-Funk,2,3,33,9150
Moen-Walker,12,2,10,4628
"Altenwerth, Pollich and Schulist",9,1,80,9440
"Langosh, Sanford and Strosin",6,5,76,7807
Marvin-Runolfsdottir,12,3,21,7499
"Greenfelder, Waelchi and Hermiston",9,2,11,4747
Wunsch-Rutherford,9,4,34,4668
"Bernier, Thiel and Boyer",9,3,17,5025
Leuschke-Jast,9,3,97,1651
Daugherty-Leffler,3,2,80,1874
Cormier-Zieme,1,1,1,8164
"Halvorson, Hegmann and Walter",3,5,77,8126
Bogisich-Zemlak,9,1,54,3323
Medhurst LLC,8,4,47,3620
Rath-Smitham,7,4,56,7223
Brown-Brown,1,5,55,2838
McDermott-Leuschke,5,3,11,2670
Hettinger-Kuhic,4,3,95,727
Koch-Anderson,5,1,85,5328
Walker-Streich,11,4,4,9048
Effertz and Sons,5,1,30,3361
Hammes Group,6,2,65,7840
Heathcote LLC,6,4,94,2818
Quigley LLC,1,2,2,2386
Turcotte Group,11,2,77,3782
Hansen Inc,10,3,37,4694
Pacocha and Sons,2,2,61,7967
"Carroll, Bergstrom and Cruickshank",2,2,96,484
Lynch and Sons,8,4,3,8434
Kovacek-Green,12,4,26,5994
"Price, Carter and McKenzie",1,1,3,4226
Kertzmann-Kuhic,5,4,26,9401
Doyle-Mitchell,6,4,90,5065
Kuhlman Inc,1,3,100,2767
"Wunsch, Wolf and Stark",6,3,85,4761
Stoltenberg-Heller,11,5,98,4402
"Koch, Brown and Runolfsson",11,1,35,1114
Rolfson-Skiles,5,5,40,1267
Yost and Sons,5,3,18,3002
Stanton LLC,12,4,72,3862
Ankunding-Kunze,6,2,43,9513
Casper-Purdy,5,2,77,2219
Keebler Group,4,3,63,1144
West-Nitzsche,9,5,45,7295
Dibbert and Sons,11,4,28,222
"Kulas, Boyle and Swift",9,3,97,7520
Heathcote Inc,6,1,96,1307
Blanda LLC,11,4,86,453
"Rogahn, Boyle and Jast",3,3,44,4105
"Heller, Schowalter and Howe",1,1,2,1776
"Bogan, Connelly and Crist",7,4,81,5069
"Treutel, Stokes and Kihn",9,5,55,7343
Rempel-Goyette,10,4,10,6450
Ortiz Inc,5,1,61,9145
Hahn-Hayes,3,4,68,7660
"Marquardt, Hahn and Cormier",3,4,65,9202
Grimes-Littel,7,1,73,9639
Stark LLC,7,2,7,4660
Botsford and Sons,4,1,2,9509
Connelly Group,1,1,2,6140
Champlin and Sons,9,3,64,9863
"Schuster, Quitzon and Streich",10,5,54,7632
Tillman and Sons,6,3,26,4553
Reichel-Nolan,4,4,69,6385
"Gislason, Skiles and Kessler",8,5,1,7109
Flatley and Sons,7,3,9,4797
Corkery-Skiles,8,3,73,6429
Muller Group,9,2,21,2806
Durgan-Gutkowski,10,3,59,6333
Harvey-Waters,4,1,34,8441
Larkin LLC,2,4,5,6944
"Conn, Reichert and Nitzsche",12,1,84,433
"Windler, Krajcik and Satterfield",8,1,72,970
"Trantow, Kutch and Rosenbaum",10,3,92,2494
McGlynn Group,1,4,64,4780
Metz-Murazik,11,4,93,2769
Jerde-Balistreri,9,4,2,4604
"Kilback, Cole and Wyman",9,3,45,2610
Abbott Inc,7,2,76,5178
"Legros, Lowe and Streich",10,3,49,9267
"McCullough, Kessler and Maggio",10,5,75,8570
"O'Conner, Prohaska and Prohaska",3,2,20,165
Bosco-Wunsch,11,3,96,206
Bogan-Collier,2,2,41,2060
Goyette and Sons,8,5,64,7770
"Green, Bartoletti and Beatty",6,5,77,6982
"Bahringer, Rolfson and Morissette",7,2,81,4847
Huel-Altenwerth,12,2,66,3769
Oberbrunner Group,6,1,22,9147
Rowe LLC,3,4,16,1885
Schmidt and Sons,6,5,63,8295
"Bode, Cole and Osinski",1,1,91,6341
"Ziemann, Emmerich and Davis",2,3,73,8722
McClure LLC,10,3,31,7043
O'Conner-Turner,2,1,69,6680
Rohan-Okuneva,10,4,18,6572
"Hermann, Lubowitz and Konopelski",4,1,39,3041
Durgan LLC,11,5,27,1099
Yundt Group,4,5,15,8336
Hane-Ratke,10,1,50,1031
"Moore, Dooley and Hammes",8,4,4,993
King LLC,8,1,3,1336
Hirthe and Sons,6,2,14,4494
Lehner and Sons,12,3,66,4881
Grant and Sons,8,3,8,1532
Nolan-Erdman,9,1,10,6965
"Kling, Balistreri and Bergstrom",2,5,85,3616
"Christiansen, Lesch and Borer",11,5,30,3427
Fritsch-Keeling,9,2,4,464
Klocko-Funk,2,5,29,7826
"Borer, Donnelly and Hansen",6,5,65,9429
"Tromp, Kautzer and Schroeder",6,4,51,4481
Kertzmann-Von,2,5,87,5152
"Jacobi, Pfeffer and Torphy",9,2,14,2884
Roberts Group,9,4,12,4341
Lindgren LLC,1,4,29,3454
"Howell, Feest and Homenick",12,2,14,391
"Rau, Medhurst and Abbott",6,3,60,8695
O'Conner LLC,12,3,53,627
Stoltenberg-Zieme,8,5,11,2623
Cassin-Steuber,11,2,26,9048
Rice-Bauch,6,3,3,1263
Trantow LLC,3,1,21,5667
"Hintz, Doyle and Zieme",7,1,31,178
"Bergnaum, Kovacek and Weber",11,4,92,9975
Romaguera-Gerlach,11,3,77,3094
Shanahan Inc,6,2,99,4245
"Ernser, Renner and Glover",2,5,100,3418
"Conroy, Sporer and Ferry",12,1,41,8406
Kirlin Inc,8,2,10,5824
Blick Inc,5,4,33,6354
"Cormier, Shanahan and Jones",9,4,75,5560
Nolan Inc,7,3,15,407
Quigley Group,10,1,50,9684
"Vandervort, Simonis and Haag",1,1,6,5398
Runolfsdottir-Bednar,11,2,100,5422
O'Conner LLC,3,2,58,4446
Botsford Inc,10,4,84,5947
Balistreri Group,6,3,42,18
Kuhic-Stanton,1,1,58,9388
"Shields, Hettinger and Adams",6,2,70,7971
Torp Inc,11,3,7,30
Waelchi-Effertz,9,1,87,2074
Dooley Inc,7,2,5,6848
"Schimmel, Blanda and Zieme",5,4,24,8638
Boyer-Crooks,9,3,22,2061
Mann-Nikolaus,4,4,83,6361
Raynor Group,10,2,65,1434
Rohan Inc,12,3,37,3151
"Russel, Legros and Smitham",10,4,100,378
Hilpert-O'Keefe,2,3,63,4347
Hahn and Sons,3,2,23,5477
Stehr Group,2,4,90,609
"Cummings, O'Connell and Conroy",5,3,92,1651
Johns LLC,12,1,96,989
Koepp-Bednar,3,2,79,1414
Huels LLC,2,1,82,1100
Okuneva Group,1,5,13,4977
Wisozk-Fisher,1,2,22,6025
Fahey-Bartoletti,1,2,95,7005
Ernser-Auer,4,1,18,4941
Torp-Lebsack,10,4,77,8329
Haag-Brown,7,1,8,6137
Wunsch-Daniel,5,2,13,4607
Brown Group,4,3,3,9031
Moen-Wisoky,12,2,61,4789
Romaguera-Hirthe,4,4,81,6421
Willms LLC,2,4,75,336
Nikolaus and Sons,3,5,96,9276
Beier Inc,6,5,25,8763
Kilback-Kunde,12,5,26,5173
Considine-Considine,12,5,86,3736
Brekke LLC,6,5,81,2925
Labadie Group,8,2,19,7703
Reichert-Moore,11,4,19,2464
West LLC,4,2,10,8838
Bergstrom-Doyle,8,2,22,2002
Bartell-Stokes,6,3,87,3210
"Spinka, Steuber and Denesik",7,2,89,2061
Graham-Satterfield,12,3,38,7043
"Johns, O'Conner and Price",4,5,23,7151
Baumbach-Rogahn,1,3,67,9729
"Frami, Reilly and Kertzmann",4,3,75,8935
Torp Group,7,4,2,353
